danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,liked
0.438,0.0825,9,-21.686,0,0.0695,0.983,0.0461,0.37,106.275,270000,0
0.358,0.977,8,-8.179,0,0.0727,8.18e-05,0.103,0.449,137.681,194160,0
0.525,0.463,4,-7.732,0,0.0362,0.815,0.108,0.372,143.614,202917,1
0.669,0.293,11,-8.144,0,0.0367,0.691,0.0623,0.449,115.832,186207,1
0.45,0.265,0,-8.166,0,0.0437,0.768,0.142,0.848,84.717,241333,1
0.472,0.0719,9,-18.19,1,0.0494,0.963,0.109,0.217,110.126,201882,1
0.374,0.131,0,-11.951,1,0.0356,0.69,0.131,0.323,131.184,165550,1
0.62,0.16,9,-11.885,1,0.0362,0.944,0.0815,0.307,64.999,183788,1
0.263,0.202,1,-17.687,1,0.0408,0.984,0.089,0.12,71.462,545747,0
0.338,0.988,8,-7.29,0,0.0865,8.35e-05,0.0377,0.449,99.046,221960,0
0.486,0.227,9,-13.758,1,0.0621,0.821,0.158,0.34,170.429,195473,1
0.443,0.112,11,-14.19,1,0.0473,0.953,0.101,0.293,116.589,212283,1
0.586,0.285,7,-10.625,1,0.0295,0.773,0.395,0.253,84.884,244235,1
0.454,0.968,6,-6.289,1,0.0787,1.73e-05,0.0472,0.535,103.965,250262,0
0.777,0.698,6,-7.706,0,0.0704,0.293,0.0908,0.119,119.963,247161,0
0.627,0.217,10,-12.55,1,0.0363,0.874,0.115,0.385,130.01,180936,1
0.443,0.107,11,-13.749,1,0.0539,0.977,0.146,0.38,176.184,193553,1
0.418,0.159,9,-13.412,1,0.0413,0.745,0.111,0.196,80.986,211781,1
0.446,0.977,10,-5.036,0,0.0781,0.000535,0.105,0.339,172.059,284400,0
0.647,0.195,9,-12.634,1,0.051,0.903,0.0793,0.504,120.076,187071,1
0.328,0.121,7,-14.463,1,0.0423,0.957,0.116,0.316,175.627,210353,1
0.656,0.9,5,-9.583,0,0.0354,0.0791,0.354,0.947,108.698,183667,0
0.461,0.918,4,-8.507,1,0.0959,0.405,0.126,0.802,172.435,249960,0
0.677,0.616,10,-13.826,1,0.032,0.458,0.349,0.851,114.223,226333,0
0.679,0.268,6,-9.85,0,0.0422,0.864,0.176,0.299,127.73,153750,1
0.447,0.449,2,-10.634,1,0.0376,0.934,0.0697,0.036,92.468,315427,0
0.889,0.646,7,-6.366,1,0.0668,0.195,0.0502,0.966,110.842,213427,0
0.35,0.248,5,-7.973,1,0.0283,0.795,0.113,0.23,141.983,223099,1
0.592,0.371,9,-9.965,0,0.0437,0.4,0.0953,0.197,127.966,316546,0
0.729,0.533,9,-10.104,0,0.444,0.747,0.0848,0.422,155.999,225953,0
0.364,0.00799,8,-33.09,1,0.0395,0.978,0.109,0.0674,101.226,216093,0
0.551,0.179,10,-13.979,0,0.0524,0.906,0.0589,0.366,120.037,109962,1
0.541,0.186,11,-12.857,1,0.0372,0.705,0.0884,0.337,74.983,181600,1
0.724,0.224,4,-11.045,0,0.0474,0.877,0.0899,0.186,118.032,168880,1
0.472,0.167,1,-12.295,1,0.0422,0.959,0.136,0.56,127.068,177391,1
0.784,0.7,7,-7.649,0,0.108,0.491,0.108,0.769,82.028,190067,0
0.648,0.751,8,-8.582,1,0.0806,0.0182,0.0418,0.863,100.437,244827,0
0.487,0.23,0,-8.477,1,0.0313,0.887,0.186,0.372,58.479,234772,1
0.428,0.167,10,-14.642,1,0.0375,0.848,0.104,0.203,139.22,237567,1
0.702,0.199,7,-11.751,0,0.0309,0.833,0.11,0.308,105.002,166819,1
0.625,0.295,4,-10.461,1,0.0333,0.781,0.133,0.36,94.168,140348,1
